Begin,End,Label,Type,Speaker
91.95,91.98,IY0,phones,corpus
92.46,92.5,M,phones,corpus
92.5,92.95,OW1,phones,corpus
92.95,92.96,SH,phones,corpus
92.96,92.97,AH0,phones,corpus
92.97,93.22,N,phones,corpus
93.22,93.29,K,phones,corpus
93.29,93.32,AE1,phones,corpus
93.32,93.43,P,phones,corpus
93.43,93.46,CH,phones,corpus
93.46,93.49,ER0,phones,corpus
93.66,93.74,M,phones,corpus
93.74,93.83,EY1,phones,corpus
93.83,93.91,B,phones,corpus
93.91,94.11,IY0,phones,corpus
94.54,94.61,D,phones,corpus
94.61,94.71,AE1,phones,corpus
94.71,94.9,T,phones,corpus
94.9,96.47,AH0,phones,corpus
96.5,96.7,S,phones,corpus
96.7,97.08,EH1,phones,corpus
97.08,97.11,T,phones,corpus
97.11,97.14,S,phones,corpus
97.14,97.18,S,phones,corpus
97.18,97.23,AH1,phones,corpus
97.23,97.3,M,phones,corpus
97.3,97.36,TH,phones,corpus
97.36,97.4,IH0,phones,corpus
97.4,97.44,NG,phones,corpus
97.44,97.52,T,phones,corpus
97.52,97.57,IH0,phones,corpus
97.57,97.66,TH,phones,corpus
97.66,97.7,IH1,phones,corpus
97.7,97.74,NG,phones,corpus
97.74,97.79,K,phones,corpus
97.79,97.84,AH0,phones,corpus
97.84,97.91,B,phones,corpus
97.91,98.0,AW1,phones,corpus
98.0,98.05,T,phones,corpus
98.05,98.11,W,phones,corpus
98.11,98.14,AY1,phones,corpus
98.14,98.21,L,phones,corpus
98.21,98.25,W,phones,corpus
98.25,98.28,IY1,phones,corpus
98.28,98.31,ER0,phones,corpus
98.31,98.39,D,phones,corpus
98.39,98.43,UW1,phones,corpus
98.43,98.5,IH0,phones,corpus
98.5,98.54,NG,phones,corpus
98.54,98.58,DH,phones,corpus
98.58,98.64,IH1,phones,corpus
98.64,98.72,S,phones,corpus
98.72,98.79,EH1,phones,corpus
98.79,98.86,K,phones,corpus
98.86,98.93,S,phones,corpus
98.93,99.01,ER0,phones,corpus
99.01,99.13,S,phones,corpus
99.13,99.31,AY2,phones,corpus
99.31,99.52,Z,phones,corpus
99.68,99.77,HH,phones,corpus
99.77,99.85,OW1,phones,corpus
99.85,99.88,P,phones,corpus
99.88,99.96,F,phones,corpus
99.96,100.0,AH0,phones,corpus
100.0,100.07,L,phones,corpus
100.07,100.12,IY0,phones,corpus
100.12,100.19,N,phones,corpus
100.19,100.26,AA1,phones,corpus
100.26,100.32,T,phones,corpus
100.32,100.35,DH,phones,corpus
100.35,100.41,AH0,phones,corpus
100.41,100.49,T,phones,corpus
100.49,100.54,EH0,phones,corpus
100.54,100.61,K,phones,corpus
100.61,100.66,N,phones,corpus
100.66,100.74,AA1,phones,corpus
100.74,100.81,L,phones,corpus
100.81,100.86,AH0,phones,corpus
100.86,100.95,JH,phones,corpus
100.95,100.99,IY0,phones,corpus
100.99,101.08,W,phones,corpus
101.08,101.09,IY1,phones,corpus
101.09,101.12,ER0,phones,corpus
101.12,101.19,D,phones,corpus
101.19,101.23,IH0,phones,corpus
101.23,101.3,V,phones,corpus
101.3,101.35,EH1,phones,corpus
101.35,101.44,L,phones,corpus
101.44,101.49,AH0,phones,corpus
101.49,101.59,P,phones,corpus
101.59,101.67,IH0,phones,corpus
101.67,101.78,NG,phones,corpus
101.78,101.85,R,phones,corpus
101.85,101.95,AY1,phones,corpus
101.95,102.01,T,phones,corpus
102.01,102.08,N,phones,corpus
102.08,102.33,AW1,phones,corpus
109.36,109.42,DH,phones,corpus
109.42,109.46,AH0,phones,corpus
109.46,109.58,M,phones,corpus
109.58,109.67,OW1,phones,corpus
109.67,109.77,S,phones,corpus
109.77,109.81,T,phones,corpus
109.84,109.93,AH0,phones,corpus
109.93,110.06,N,phones,corpus
110.06,110.14,OY1,phones,corpus
110.14,110.26,IH0,phones,corpus
110.26,110.36,NG,phones,corpus
110.4,110.53,AE1,phones,corpus
110.53,110.6,N,phones,corpus
110.6,110.65,AH0,phones,corpus
110.65,110.72,M,phones,corpus
110.72,110.85,AH0,phones,corpus
110.85,110.88,L,phones,corpus
110.88,110.99,IH0,phones,corpus
110.99,111.03,N,phones,corpus
111.03,111.07,DH,phones,corpus
111.07,111.16,IY0,phones,corpus
111.2,111.27,AE1,phones,corpus
111.27,111.34,N,phones,corpus
111.34,111.41,AH0,phones,corpus
111.41,111.48,M,phones,corpus
111.48,111.53,AH0,phones,corpus
111.53,111.57,L,phones,corpus
111.57,111.7,K,phones,corpus
111.7,111.75,IH1,phones,corpus
111.75,111.84,NG,phones,corpus
111.84,111.87,D,phones,corpus
111.87,112.0,AH0,phones,corpus
112.0,112.09,M,phones,corpus
112.14,112.21,W,phones,corpus
112.21,112.26,IH0,phones,corpus
112.26,112.44,TH,phones,corpus
112.44,112.55,AW1,phones,corpus
112.55,112.59,T,phones,corpus
112.59,112.67,AH0,phones,corpus
112.67,112.76,D,phones,corpus
112.76,113.02,AW1,phones,corpus
113.02,113.16,T,phones,corpus
113.23,113.31,IH1,phones,corpus
113.31,113.4,Z,phones,corpus
113.4,113.46,DH,phones,corpus
113.46,113.53,AH0,phones,corpus
113.53,113.61,B,phones,corpus
113.61,113.71,IY1,phones,corpus
113.71,113.8,V,phones,corpus
113.8,113.93,ER0,phones,corpus
114.71,114.75,B,phones,corpus
114.75,114.8,IH0,phones,corpus
114.8,114.91,K,phones,corpus
114.91,115.11,AH1,phones,corpus
115.11,115.22,Z,phones,corpus
115.4,115.49,IH1,phones,corpus
115.49,115.56,JH,phones,corpus
115.56,115.64,IH0,phones,corpus
115.64,115.73,S,phones,corpus
115.73,115.78,T,phones,corpus
115.78,115.92,CH,phones,corpus
115.92,116.17,UW1,phones,corpus
116.17,116.23,Z,phones,corpus
116.23,116.38,AA1,phones,corpus
116.38,116.45,N,phones,corpus
116.45,116.54,TH,phones,corpus
116.54,116.93,IH1,phones,corpus
116.93,117.01,NG,phones,corpus
117.01,117.09,Z,phones,corpus
117.09,117.15,AH0,phones,corpus
117.15,117.18,N,phones,corpus
117.18,117.22,D,phones,corpus
117.22,117.25,IH1,phones,corpus
117.25,117.33,T,phones,corpus
117.33,117.42,K,phones,corpus
117.42,117.47,R,phones,corpus
117.47,117.52,IY0,phones,corpus
117.52,117.63,EY1,phones,corpus
117.63,117.69,T,phones,corpus
117.69,117.75,S,phones,corpus
117.75,117.82,D,phones,corpus
117.82,118.03,AE1,phones,corpus
118.03,118.07,M,phones,corpus
118.07,118.15,Z,phones,corpus
118.15,118.18,AH0,phones,corpus
118.18,118.21,N,phones,corpus
118.21,118.24,D,phones,corpus
118.24,118.28,IH1,phones,corpus
118.28,118.33,T,phones,corpus
118.33,118.43,S,phones,corpus
118.43,118.5,T,phones,corpus
118.5,118.6,AA1,phones,corpus
118.6,118.66,P,phones,corpus
118.66,118.74,S,phones,corpus
118.74,118.83,W,phones,corpus
118.83,118.97,AA1,phones,corpus
118.97,119.01,T,phones,corpus
119.01,119.08,ER0,phones,corpus
119.08,119.11,IH0,phones,corpus
119.11,119.14,IH0,phones,corpus
119.14,119.2,Z,phones,corpus
119.2,119.23,JH,phones,corpus
119.23,119.28,IH0,phones,corpus
119.28,119.32,S,phones,corpus
119.32,119.37,T,phones,corpus
119.37,119.41,M,phones,corpus
119.41,119.47,EY1,phones,corpus
119.47,119.54,K,phones,corpus
119.54,119.57,IH0,phones,corpus
119.57,119.64,NG,phones,corpus
119.64,119.69,AH0,phones,corpus
119.69,119.81,M,phones,corpus
119.81,119.92,EH1,phones,corpus
119.92,120.23,S,phones,corpus
